username,usercomment
念你在心跳那一秒33564778,二喜好看呀
mln7869,大神说，“再打一场，刚才手下留情了”。哈哈，我再看一遍，之前还没看够。
腾讯用户1474081810445935,哇.内容好丰富.同感点赞[汪大东_放电]
mln7869,唉，我中毒太深，天天刷还爱看
星雪忧璇0,小爽姐姐美
嗳_灬谎恋99188576,广告一百多秒。有能耐。为了杨洋郑爽不怕！！！
腾讯用户1474088529951545,看了好几遍了，还想看
腾讯用户1474088529951545,就是就是
优酷用户146138446036345,啊啊啊
公主99056244,杨洋好帅[稀饭]
腾讯用户1474076901075655,好看
゜一颗芯,好好看呀
微信用户1474076676712214,我也是
微信用户1474076676712214,嗯嗯
湖男05868731,[稀饭]
优酷用户1472373995777229,好喜欢杨样[么么哒][么么哒][么么哒]
腾讯用户1466769222967722,常玩电脑会近视。
土豆用户_834675137,微笑夫妇一言不和就亲亲😚这是虐死单身狗的节奏啊！
优酷用户146138446036345,我特么真是醉了，我是来看电视剧的，不是看广告的😂😂😂
优酷用户1474082860013828,郑爽杨洋，对你们爱不完！
腾讯用户1474087461075389,听了这个小说，一直期待电视版的
优酷用户1474082860013828,广告长的不要不要的，是因为观看量破百亿，所以……才要播这么多的广告
优酷用户1474082860013828,爱郑爽，爱杨洋，爱微微一笑很倾城，大爱郑爽杨洋，希望他们能在一起，其实郑爽和胡彦斌一点也不配，她跟张翰也不配，我觉得井柏然和杨洋有的一拼，争郑爽，争郑爽，争郑爽！！！！！！支持杨洋，支持杨洋，支持杨洋！！！！！！
腾讯用户1474087224496699,好喜欢看这部电视，太爱杨洋，郑爽
呆到深处自然萌76779061,太好看了
最想看到你乔美人_462515435,看了一遍又一遍呀，好喜欢肖大神呀
土豆用户_430690566,看了电视剧版的微微一笑，电影版根本不用去关注……
腾讯用户1471188108728238,好好看
腾讯用户147235029803642,偶也是
腾讯用户1473313339450676,额
土豆用户_435385143,为什么大神的耳朵那么红啊！[稀饭][稀饭][稀饭][稀饭]
an8611,大爱啊，很喜欢郑爽演的微微，演的很活
优酷用户1462030429459729,广告长
致一科技肖总家属,哎呀破100亿辣
腾讯用户1471845818033630,已转发评论
刀剑神域小路,完了，太好看有点迷恋~~
孙卉曹飞飞,一听说曹光在追微微 大神立马就怒了 吃醋了 哈哈
何方神圣40192346,杨洋拍戏太好赚钱了吧，整集下来脸上表情都不变的
腾讯用户1474038131103821,赞
刀剑神域小路,倩女游戏不好玩，电视剧好看~~
土豆用户_800429281,你不喜欢能不能不要bb
土豆用户_800429281,不喜欢不要在这跟我瞎bb
优酷用户1471617982143784,我看了5遍了
微信用户1474037640498153,[稀饭][稀饭]
ykapp_w7fbu7ax,天天来呀
呦丶肚兜儿,呵呵
nice493520805,这广告没谁了
土豆用户_848921593,好般配，杨洋和郑爽
緈諨燕48461942,我很喜歡看，加油，期待你們下個作品
土豆用户_805428732,唉，我还是不太喜欢郑爽杨洋的，我家baby才棒！
微信用户1473922563314929,嗯嗯
微信用户1473922563314929,"是哈
"
微信用户1473922563314929,是阿
优酷用户1473063610282284,哈哈哈 和太优秀的人呆在一起 挡不住的光芒啊 哈哈哈
微信用户1473167087075769,快出第二部呀，太好看了，我都看了N遍了。
微信用户1474031564845867,杨洋跟郑爽很配
优酷用户1474031986919788,高智商的杨洋，学霸郑爽，这部电视剧太好看了。洋洋好帅啊
微信用户1474031564845867,好看好看
腾讯用户1473946124913320,好卡呀[飞流不哭]
优酷用户1464483390394546,少女心泛滥啊
心、从未如此平静过2BC7B,我看了5遍，真的是百看不厌。
微信用户1474031564845867,好看
回忆空白记忆50732369,这广告我也是醉了！
微信用户1474030716992461,😞
腾讯用户1468466220060392,看了好几遍了，还是想来看看
腾讯用户1471163054173961,哇，好搭配的俩人啊[稀饭]
优酷用户1473922217007440,广告中😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑😑
我恨你冲淡了我的回忆52542687,好期待我未来的大学生活[稀饭]
芊雪冰儿,cp感很强的两人，养眼
欣梦语93187542,好长广告
土豆用户_791668506,卧槽两分钟十几秒的广告 我的心里是拒绝的😒😒😒
优酷用户1474029772281488,杨洋郑爽他们两好配[汪大东_放电]
腾讯用户1470202819162832,郑爽的演技  太棒了
繁华如梦10662825,好好看，看了4遍了，百看不厌
腾讯用户1474028806198986,为杨洋而来！[稀饭][赞]
土豆用户_746051627,广告好长，杨洋好帅。[苏兄爱你]
优酷用户783279684,现在他22岁，游戏价值上亿
腾讯用户1461066037682393,太卡了吧
腾讯用户1474028727537377,帅[稀饭]
时间81592080,呃呃呃😖广告太长真要哭死了。[难过][难过][难过][难过]
腾讯用户1473946124913320,好卡，好卡，好卡[难过]
hyc97382425,郑爽杨洋演技都好好
